,Company,Action,Industry,Country,tone
0,Cheil Worldwide,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United Kingdom,0
1,CitiGroup,"['ban', 'on', 'all', 'russian', 'competition']",NGO,France,0
2,Citrix,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United States,0
3,CJ CheilJedang,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Switzerland,0
4,Claas Group,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Switzerland,0
5,CSL Behring,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United States,0
6,CUAV Tech Inc.,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Panama,0
7,Cummins,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United States,0
8,Cunningham Lindsey,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Ireland,0
9,Хостинг Ukraine,"['ban', 'people', 'with', 'ties', 'to', 'russian', 'government']",NGO,Germany,0
10,Calzedonia,"['ban', 'russian', 'athletes']",NGO,United Kingdom,0
11,Badminton World Federation,"['ban', 'russian', 'athletes', 'from', 'competing']",Industrials,Switzerland,0
12,CityBee,"['ban', 'russian', 'athletes', 'from', 'competing']",NGO,Switzerland,0
13,Alaric von Teplitz,"['ban', 'russian', 'investments', 'in', 'customers', ""'"", 'portfolios']",Financials,Denmark,0
14,Backendless,"['ban', 'russian', 'teams', 'and', 'officials', 'from', 'participating', 'in', 'basketball', 'events']",NGO,Switzerland,0
15,Chanel,"['ban', 'russian', 'teams', 'from', 'participating', 'in', 'tournaments']",NGO,Finland,0
16,Babolat,"['ban', 'russian', ',', 'belarusian', 'licence', 'holders']",NGO,Switzerland,0
17,CAPRI Holdings,"['bans', 'russian', '&', 'belarussian', 'products']",Consumer Discretionary,Poland,0
18,Bayer,"['bar', 'russian', 'atheletes']",NGO,Germany,0
19,Compass Mining Inc.,"['begins', 'a', 'process', 'aimed', 'at', 'transferring', 'ownership', 'of', 'its', 'russia', 'business']",Consumer Staples,United Kingdom,0
20,AppFollow,"['block', 'bookings', 'and', 'block', 'accepting', 'guests', 'in', 'russia']",Consumer Discretionary,United States,0
21,AkzoNobel,"['block', 'certain', 'illicit', 'russian', 'accounts', 'but', 'not', 'all']",Financials,United States,0
22,China Mobile,"['block', 'marketplace', 'for', 'russian', 'users']",Communication Services,Netherlands,0
23,Baldinini,"['block', 'users', 'located', 'in', 'russia', 'and', 'belarus', 'from', 'using', 'products', 'or', 'services']",Information Technology,United States,0
24,Alliance Healthcare,"['can', 'no', 'longer', 'clear', 'rupee', 'rouble', 'conversions']",Financials,India,0
25,Crocoblock,"['cancel', 'all', 'future', 'orders', 'to', 'russia']",Consumer Staples,United Kingdom,0
26,Asda,"['cancel', 'all', 'tournaments']",NGO,Malaysia,0
27,Bekaert,"['cancel', 'flights', 'to', 'and', 'from', 'russia']",Industrials,Netherlands,0
28,AGC Glass Europe,"['cancel', 'investments', 'in', 'a', 'brand', 'new', 'factory', 'in', 'russia', ';', 'but', 'maintain', 'other', 'activities']",Materials,Belgium,0
29,AerCap,"['cancel', 'new', 'investments', 'in', 'russia']",Industrials,Denmark,0
30,Benteler International,"['cancel', 'production', 'of', 'equipment', 'orders', 'from', 'russian']",Industrials,Japan,0
31,AssuredPartners,"['cancel', 'russian', 'flights']",Industrials,United Kingdom,0
32,Arrival,"['cancel', 'russian', 'flights', 'until', 'july']",Industrials,Austria,0
33,Bridgestone Tire,"['cancel', 'summer', 'cruise', 'ship', 'visits', 'to', 'russia']",Consumer Discretionary,United States,0
34,Aarsleff,"['canceled', 'future', 'investments', 'in', 'russia']",Materials,United States,0
35,Baring Vostok Capital Partners,"['canceling', 'flights', 'to', 'russia']",Industrials,Spain,0
36,Boskalis,"['cease', 'activity', 'with', 'russian', 'customers', '&', 'cease', 'promotion', 'of', 'russian', 'universities']",NGO,United Kingdom,0
37,Chinese Science Organizations,"['cease', 'all', 'activities', 'with', 'russia']",Consumer Discretionary,Germany,0
38,Biomin,"['cease', 'all', 'imports', 'and', 'exports', 'with', 'russia']",Industrials,United Kingdom,0
39,Buzzi Unicem,"['cease', 'all', 'operations', 'in', 'russia', '&', 'cancel', 'trips', 'to', 'russia', 'up', 'to', '2024']",Consumer Discretionary,Switzerland,0
40,AXA,"['cease', 'all', 'operations', 'involving', 'russia']",Consumer Discretionary,Spain,0
41,Cargotec,"['cease', 'all', 'sales', 'and', 'support', 'to', 'all', 'customers', ',', 'users', 'and', 'resellers', 'in', 'russia', '&', 'belarus']",Information Technology,United States,0
42,Coccinelle,"['cease', 'all', 'trading', 'with', 'russia', '.']",Industrials,United Kingdom,0
43,Capgemini,"['cease', 'buying', 'raw', 'materials', 'from', ',', 'or', 'selling', 'our', 'products', 'to', ',', 'russian', 'businesses']",Materials,United States,0
44,Azimut Holding,"['cease', 'cooperation', 'with', 'governmental', 'agencies', 'in', 'russia']",NGO,Belgium,0
45,Canva,"['cease', 'leasing', 'activity', 'with', 'russian', 'airlines']",Industrials,Ireland,0
46,АВВ,"['cease', 'new', 'business', 'initiatives', 'but', 'continue', 'existing', 'clinical', 'trials', ',', 'and', 'distributing', 'health', 'products']",Health Care,United States,1
47,Carl Zeiss AG,"['cease', 'operations', 'in', 'russia', 'and', 'transfer', 'them', 'to', 'an', 'independent', 'entity']",Industrials,United States,0
48,A&D,"['cease', 'trading', 'operations', 'with', 'russia', '&', 'belarus', ';', 'running', 'plants', 'in', 'russia']",Industrials,Germany,0
49,Cogent Communications,"['ceased', 'all', 'business', 'activities', 'in', 'russia']",Consumer Discretionary,Poland,0
50,Coperion,"['ceased', 'all', 'sales', 'to', 'this', 'market', 'at', 'the', 'onset', 'of', 'the', 'war', 'and', 'blocked', 'russian', 'state', 'radio']",Consumer Discretionary,United States,0
51,Celanese,"['ceased', 'business', 'activity', 'in', 'russia']",Materials,Germany,0
52,Citi,"['ceased', 'operations', 'in', 'russia']",Consumer Discretionary,United Kingdom,0
53,Commerzbank,"['ceased', 'purchase', 'of', 'any', 'products', 'from', 'russian', 'or', 'directly', 'related', 'companies']",Energy,Portugal,0
54,Copelouzos Group,"['ceded', 'control', 'of', 'its', 'operations', 'in', 'russia']",Industrials,France,0
55,Cooperl Arc Atlantique,"['cessation', 'of', 'all', 'activities', 'in', 'russia']",Financials,France,0
56,Becker Mining Systems AG,"['close', 'all', 'stores', 'in', 'russia']",Consumer Discretionary,France,0
57,Cape plc,"['close', 'offices', 'in', 'moscow']",Information Technology,United States,0
58,China United Network Communications,"['close', 'offices', 'in', 'russia', '&', 'cease', 'all', 'operations']",Information Technology,United States,0
59,Carnival Corporation,"['close', 'operations', 'in', 'russia']",Real Estate,Sweden,0
60,Crocs,"['close', 'operations', ';', 'transfer', 'of', 'some', 'business']",Consumer Discretionary,Belarus,0
61,Cleary Gottlieb,"['close', 'rep', 'office', 'and', 'withdraw', 'ships']",Industrials,Luxembourg,0
62,Cheminova A/S,"['close', 'russia', 'office', ';', 'transfer', 'russia', 'practice', 'to', 'local', 'partners', 'and', 'counsels']",Industrials,United Kingdom,0
63,Atlas Copco,"['close', 'russia', 'stores']",Consumer Discretionary,Canada,0
64,Boohoo Group,"['close', 'russian', 'accounts']",Information Technology,United States,0
65,Chopard,"['close', 'russian', 'business']",Industrials,United Kingdom,0
66,CeraVe,"['close', 'russian', 'office']",Industrials,United States,0
67,Crunchyroll,"['close', 'russian', 'office']",Industrials,United States,0
68,Coface,"['close', 'russian', 'offices']",Industrials,United States,0
69,Bartec,"['close', 'russian', 'stores', 'and', 'suspend', 'sales']",Consumer Discretionary,Spain,2
70,Bulgaria Air,"['close', 'shops', 'and', 'online', 'store', 'in', 'russia']",Consumer Discretionary,Spain,0
71,Clarivate,"['closed', 'its', 'site', 'in', 'russia']",Information Technology,United States,0
72,China Minmetals,"['closing', 'business', 'in', 'russia']",Industrials,United Kingdom,0
73,China Taly Aviation Technologies Corp.,"['closing', 'business', 'in', 'russia']",Industrials,United States,0
74,CRAFTD,"['closing', 'operations', 'in', 'russia']",Communication Services,United States,0
75,Captain Morgan,"['closing', 'tpm', 'russia', 'subsidiary', 'due', 'to', 'war', 'in', 'ukraine']",Industrials,United States,0
76,Brenntag,"['closure', 'of', 'plants']",Consumer Discretionary,Spain,0
77,Международная федерация хоккея на льду,"['commerical', 'activity', 'suspended']",Materials,Portugal,0
78,Costa Coffee,"['complete', 'withdrawal', 'from', 'russia']",Industrials,Poland,0
79,Costco,"['conclude', 'total', 'exit', 'from', 'russia']",Information Technology,Finland,0
80,Alibaba,"['continue', 'current', 'business', '&', 'stop', 'all', 'new', 'sales', 'efforts', 'in', 'russia']",Information Technology,United States,1
81,Международная федерация университетского спорта,"['continue', 'essential', 'health', 'and', 'hygiene', 'products']",Consumer Staples,United States,1
82,Actava Trading DMCC,"['continue', 'operating', 'in', 'russia', 'but', 'very', 'limited', 'curtailment', 'of', 'some', 'activities']",Information Technology,United States,1
83,Gurock,"['continue', 'operations']",Alcohol & Tobacco,USA,1
84,Guru,"['continue', 'operations']",FMCG,France,1
85,GXO Logistics,"['continue', 'operations']",FMCG,France,1
86,H. Stern,"['continue', 'operations']",FMCG,Switzerland,1
87,H.B. Fuller,"['continue', 'operations']",FMCG,USA,1
88,H&M,"['continue', 'operations']",Automotive,China,1
89,"H&M (COS, Monki и др.)","['continue', 'operations']",Automotive,South Korea,1
90,H&M (Hennes and Mauritz),"['continue', 'operations']",Alcohol & Tobacco,Belgium,1
91,Haas Automation,"['continue', 'operations']",Food & Beverages,USA,1
92,Habanos,"['continue', 'operations']",Electronics,China,1
93,Habasit Holding,"['continue', 'operations']",Consumer Goods & Clothing,United Kingdom,1
94,Hachette,"['continue', 'operations']",Automotive,China,1
95,Hager Group,"['continue', 'operations']",FMCG,Germany,1
96,Haier,"['continue', 'operations']",Automotive,Japan,1
97,Hain Celestial,"['continue', 'operations']","Energy, Oil & Gas",USA,1
98,Hainan Airlines,"['continue', 'operations']",Consumer Goods & Clothing,Turkey,1
99,Hakuhodo,"['continue', 'operations']",Automotive,China,1
100,Haldor Topsøe,"['continue', 'operations']",Consumer Goods & Clothing,France,1
101,Halewood International,"['continue', 'operations']",Logistics & Transport,Germany,1
102,Halliburton,"['continue', 'operations']",Construction & Architecture,Turkey,1
103,HALO Electronics,"['continue', 'operations']",Pharma & Healthcare,Slovenia,1
104,Halyk Bank,"['continue', 'operations']",Finance & Payments,Italy,1
105,Hamburg Süd,"['continue', 'operations']",Food & Beverages,Netherlands,1
106,Hamburger Hafen und Logistik AG,"['continue', 'operations']",Consumer Goods & Clothing,France,1
107,Hamleys,"['continue', 'operations']",Industrial Equipment,Germany,1
108,Hampidjan,"['continue', 'operations']",Automotive,Germany,1
109,"Hangzhou Fuyang Koto Machinery Co., Ltd (Koto Machinery)","['continue', 'operations']",Chemical Industry,Turkey,1
110,Haniel,"['continue', 'operations']",Electronics,USA,1
111,Hanjin Group,"['continue', 'operations']",Pharma & Healthcare,Israel,1
112,Hannover Re,"['continue', 'operations']",Food & Beverages,Thailand,1
113,Hansgrohe,"['continue', 'operations']",Conglomerate,South Africa,1
114,Hapag Lloyd,"['continue', 'operations']",Electronics,Turkey,1
115,Hapag-Lloyd,"['continue', 'operations']",Consumer Goods & Clothing,Sweden,1
116,Harbin Bank,"['continue', 'operations']",Pharma & Healthcare,Germany,1
117,Hard Rock Café,"['continue', 'operations']",Automotive,China,1
118,HARIBO,"['continue', 'operations']",Consumer Goods & Clothing,Italy,1
119,Harley-Davidson,"['continue', 'operations']",Automotive,China,1
120,Harman Connected Services,"['continue', 'operations']",Logistics & Transport,France,1
121,Harman International,"['continue', 'operations']",Consumer Goods & Clothing,Poland,1
122,Harrods,"['continue', 'operations']",Conglomerate,Japan,1
123,Harting,"['continue', 'operations']",Electronics,China,1
124,HARTMANN GROUP,"['continue', 'operations']",Pharma & Healthcare,Germany,1
125,Harvia,"['continue', 'operations']",Food & Beverages,Italy,1
126,Hasbro,"['continue', 'operations']",Construction & Architecture,Japan,1
127,HashiCorp,"['continue', 'operations']",Automotive,South Korea,1
128,HASSLACHER Holding,"['continue', 'operations']",Food & Beverages,France,1
129,Hatch Ltd,"['continue', 'operations']",Electronics,Italy,1
130,Hauhinco Maschinenfabrik,"['continue', 'operations']",Electronics,Japan,1
131,Haulotte Group,"['continue', 'operations']",Pharma & Healthcare,Germany,1
132,Haval Motor,"['continue', 'operations']",Online Trading,China,1
133,Havana Club,"['continue', 'operations']",Food & Beverages,France,1
134,Havas,"['continue', 'operations']",Consumer Goods & Clothing,Germany,1
135,Havas Group,"['continue', 'operations']",Food & Beverages,South Korea,1
136,HAVI,"['continue', 'operations']",Food & Beverages,Germany,1
137,Hayat Holding,"['continue', 'operations']",Pharma & Healthcare,Germany,1
138,Hays,"['continue', 'operations']",FMCG,Netherlands,1
139,Hays plc,"['continue', 'operations']",Food & Beverages,Israel,1
140,HCL Technologies,"['continue', 'operations']",Pharma & Healthcare,Belgium,1
141,HDFC Bank,"['continue', 'operations']",Food & Beverages,Germany,1
142,HDrezka,"['continue', 'operations']",Agriculture,Germany,1
143,Hearst,"['continue', 'operations']",Defense,China,1
144,Hearst Communications,"['continue', 'operations']",Consumer Goods & Clothing,Germany,1
145,HEE Trans European Management GmbH,"['continue', 'operations']",IT,Germany,1
146,Heel,"['continue', 'operations']",Electronics,Greece,1
147,HeidelbergCement,"['continue', 'operations']",Food & Beverages,United Kingdom,1
148,HEIDENHAIN,"['continue', 'operations']",Chemical Industry,China,1
149,Heidrick & Struggles,"['continue', 'operations']",Electronics,China,1
150,Heineken,"['continue', 'operations']",Pharma & Healthcare,Hungary,1
151,Heinzmann,"['continue', 'operations']",Automotive,Egypt,1
152,Helena Rubinstein,"['continue', 'operations']",Industrial Equipment,Germany,1
153,Heliski Russia,"['continue', 'operations']",Construction & Architecture,Turkey,1
154,Hella,"['continue', 'operations']",Consumer Goods & Clothing,USA,1
155,Hellenic Bank,"['continue', 'operations']",Pharma & Healthcare,Germany,1
156,Hellenic Bottling Company,"['continue', 'operations']","Energy, Oil & Gas",Netherlands,1
157,Hellenic Petroleum,"['continue', 'operations']",Finance & Payments,Netherlands,1
158,Helly Hansen,"['continue', 'operations']",IT,France,1
159,Helpcrunch,"['continue', 'operations']",Pharma & Healthcare,India,1
160,"Hemisphere GNSS, Inc.","['continue', 'operations']",Food & Beverages,Greece,1
161,Hempel,"['continue', 'operations']",Electronics,Germany,1
162,Hengli Group,"['continue', 'operations']",Manufacturing,Germany,1
163,Henkel,"['continue', 'operations']",Electronics,China,1
164,"Henkel (Persil, Gliss Kur, «Пемолюкс», Vernel и др.)","['continue', 'operations']",Consumer Goods & Clothing,Turkey,1
165,Heraeus,"['continue', 'operations']",Tourism & Travel,Switzerland,1
166,Herbalife,"['continue', 'operations']",Chemical Industry,USA,1
167,Herbalife Nutrition,"['continue', 'operations']",Consumer Goods & Clothing,France,1
168,Herbert Smith Freehills,"['continue', 'operations']",Automotive,Germany,1
169,Herbion International,"['continue', 'operations']",Agriculture,Germany,1
170,Herend,"['continue', 'operations']",Agriculture,France,1
171,Hermes,"['continue', 'operations']",Electronics,China,1
172,Hero Group,"['continue', 'operations']",Industrial Equipment,Italy,1
173,heroku,"['continue', 'operations']",Manufacturing,Germany,1
174,Herpa,"['continue', 'operations']",Consumer Goods & Clothing,USA,1
175,Hertz,"['continue', 'operations']","Energy, Oil & Gas",Italy,1
176,HERZ,"['continue', 'operations']",Logistics & Transport,France,1
177,Herzog & de Meuron,"['continue', 'operations']",Pharma & Healthcare,USA,1
178,Hesburger,"['continue', 'operations']",FMCG,USA,1
179,Hettich,"['continue', 'operations']",Manufacturing,Germany,1
180,Hewlett Packard Enterprise,"['continue', 'operations']",Pharma & Healthcare,Japan,1
181,Hexagon,"['continue', 'operations']",Pharma & Healthcare,India,1
182,HHLA,"['continue', 'operations']",Automotive,USA,1
183,HI-LEX,"['continue', 'operations']",Logistics & Transport,South Korea,1
184,Hidral,"['continue', 'operations']",Logistics & Transport,Switzerland,1
185,Highland Gold,"['continue', 'operations']",Construction & Architecture,Germany,1
186,Hikvision,"['continue', 'operations']",Pharma & Healthcare,Germany,1
187,Hill's Pet Nutrition,"['continue', 'operations']",Automotive,Germany,1
188,HILTI,"['continue', 'operations']",Manufacturing,Turkey,1
189,Hilton,"['continue', 'operations']",Logistics & Transport,Japan,1
190,Hilton Hotels,"['continue', 'operations']",Logistics & Transport,Austria,1
191,Hindalco,"['continue', 'operations']",Engineering,Germany,1
192,Hindustan Petroleum,"['continue', 'operations']",Conglomerate,Japan,1
193,Hines,"['continue', 'operations']",Industrial Equipment,Belgium,1
194,Hino Motors,"['continue', 'operations']",Chemical Industry,Switzerland,1
195,HiPP,"['continue', 'operations']",Logistics & Transport,Austria,1
196,HIROSHIMA GAS Co.,"['continue', 'operations']",Agriculture,France,1
197,Hitachi,"['continue', 'operations']",Automotive,Japan,1
198,Hitachi Construction,"['continue', 'operations']",Food & Beverages,Austria,1
199,Hitachi Construction Machinery,"['continue', 'operations']","Energy, Oil & Gas",USA,1
200,Hitachi Construction Machinery Co.,"['continue', 'operations']",Consumer Goods & Clothing,USA,1
201,Hitachi Energy,"['continue', 'operations']",Electronics,Turkey,1
202,Hitachi Group,"['continue', 'operations']",Pharma & Healthcare,Thailand,1
203,Hitachi Zosen Corporation,"['continue', 'operations']",Agriculture,Germany,1
204,Hiya,"['continue', 'operations']",Logistics & Transport,Denmark,1
205,HMD Global,"['continue', 'operations']",Pharma & Healthcare,Czech Republic,1
206,HMM,"['continue', 'operations']",Automotive,South Korea,1
207,Hochland,"['continue', 'operations']",Pharma & Healthcare,France,1
208,Hochtief,"['continue', 'operations']",Electronics,Germany,1
209,Hoerbiger Holding,"['continue', 'operations']",Logistics & Transport,Germany,1
210,Hoffmann Group,"['continue', 'operations']",Consumer Goods & Clothing,Switzerland,1
211,Hogan Lovells,"['continue', 'operations']",Engineering,Germany,1
212,Holcim,"['continue', 'operations']",Manufacturing,Japan,1
213,Holland America Line Cruises,"['continue', 'operations']",Public Catering,Switzerland,1
214,Holland Colours,"['continue', 'operations']",Pharma & Healthcare,Germany,1
215,HomaGames,"['continue', 'operations']",Pharma & Healthcare,Latvia,1
216,Home Credit,"['continue', 'operations']",Logistics & Transport,Germany,1
217,Honda,"['continue', 'operations']",Chemical Industry,Germany,1
218,Honey Group,"['continue', 'operations']",Food & Beverages,Austria,1
219,Honeywell,"['continue', 'operations']",Pharma & Healthcare,Germany,1
220,Hongqi,"['continue', 'operations']",Manufacturing,China,1
221,Honor,"['continue', 'operations']",Electronics,USA,1
222,Horiba,"['continue', 'operations']",Pharma & Healthcare,France,1
223,Hörmann KG,"['continue', 'operations']",Fashion & Leisure,USA,1
224,HORSCH,"['continue', 'operations']",Metals & Mining,Italy,1
225,Hortex,"['continue', 'operations']",Pharma & Healthcare,Hungary,1
226,Host Tracker,"['continue', 'operations']",Logistics & Transport,Switzerland,1
227,Hostinger,"['continue', 'operations']",Finance & Payments,Italy,1
228,HOSTiQ,"['continue', 'operations']",Industrial Equipment,Japan,1
229,HostPro,"['continue', 'operations']",Electronics,South Korea,1
230,House Brand,"['continue', 'operations']",Consumer Goods & Clothing,France,1
231,Houthoff,"['continue', 'operations']",Pharma & Healthcare,Germany,1
232,Hoya Corporation,"['continue', 'operations']",Manufacturing,Germany,1
233,HP,"['continue', 'operations']",Pharma & Healthcare,Germany,1
234,HP (Hewlett Packard),"['continue', 'operations']",Chemical Industry,USA,1
235,HP Enterprise,"['continue', 'operations']",Construction & Architecture,Germany,1
236,HP Enterprise (Independent from HP Inc.),"['continue', 'operations']",Agriculture,Germany,1
237,HP Inc.,"['continue', 'operations']",Electronics,China,1
238,HSBC,"['continue', 'operations']",Pharma & Healthcare,Italy,1
239,HT Troplast,"['continue', 'operations']",Events & Education,United Kingdom,1
240,Huawei,"['continue', 'operations']",Food & Beverages,Austria,1
241,HUB,"['continue', 'operations']",Alcohol & Tobacco,South Korea,1
242,Hudson Sadler,"['continue', 'operations']",Conglomerate,USA,1
243,Hugo Boss,"['continue', 'operations']",Manufacturing,Finland,1
244,Huhtamaki,"['continue', 'operations']",Pharma & Healthcare,France,1
245,Humble Bundle Inc.,"['continue', 'operations']",Technology,Services,1
246,Hunkemoller,"['continue', 'operations']",Food & Beverages,Germany,1
247,Huntsman Corporation,"['continue', 'operations']",Electronics,Japan,1
248,Huobi Global,"['continue', 'operations']",Agriculture,Israel,1
249,Husqvarna,"['continue', 'operations']",Pharma & Healthcare,United Kingdom,1
250,Hüttenes-Albertus Chemische Werke,"['continue', 'operations']",Consumer Goods & Clothing,Germany,1
251,Hyatt,"['continue', 'operations']",Food & Beverages,USA,1
252,Hyatt hotels,"['continue', 'operations']",Construction & Architecture,Switzerland,1
253,Hyatt Hotels Corp,"['continue', 'operations']",Chemical Industry,Germany,1
254,HYCU,"['continue', 'operations']",Pharma & Healthcare,Germany,1
255,Hydroscand,"['continue', 'operations']",Construction & Architecture,Germany,1
256,Hyleys,"['continue', 'operations']",Metals & Mining,Austria,1
257,Hyosung,"['continue', 'operations']",FMCG,Switzerland,1
258,Hypertherm Associates,"['continue', 'operations']",Telecom,China,1
259,Hytera,"['continue', 'operations']",Pharma & Healthcare,Germany,1
260,Hyundai,"['continue', 'operations']",Manufacturing,Austria,1
261,Hyundai Capital,"['continue', 'operations']",Conglomerate,Turkey,1
262,HYUNDAI CONSTRUCTION EQUIPMENT,"['continue', 'operations']",Consulting & Law,Germany,1
263,Hyundai Doosan Infracore Co.,"['continue', 'operations']",Pharma & Healthcare,Japan,1
264,Hyundai Motors,"['continue', 'operations']",Finance & Payments,Netherlands,1
265,Hyundai Wia,"['continue', 'operations']",Defense,Switzerland,1
266,Hyve Expo International,"['continue', 'operations']",Logistics & Transport,Switzerland,1
267,Hyve Group plc,"['continue', 'operations']",Chemical Industry,USA,1
268,I Jet Global DMCC (iJet),"['continue', 'operations']",Agriculture,Sweden,1
269,I-REC Standard Foundation,"['continue', 'operations']",Electronics,Italy,1
270,IAB Europe,"['continue', 'operations']",Conglomerate,Germany,1
271,Iberia,"['continue', 'operations']",Agriculture,Netherlands,1
272,IBFS united,"['continue', 'operations']",Pharma & Healthcare,Macedonia,1
273,IBM,"['continue', 'operations']",Automotive,Italy,1
274,IC Holding,"['continue', 'operations']",FMCG,Austria,1
275,ICBC,"['continue', 'operations']",Pharma & Healthcare,Austria,1
276,Icecat,"['continue', 'operations']",IT,USA,1
277,Icon,"['continue', 'operations']",Utilities & Communal Services,USA,1
278,Icosagen,"['continue', 'operations']",Food & Beverages,United Kingdom,1
279,ID Finance,"['continue', 'operations']",Fashion & Leisure,Italy,1
280,ID Logistics,"['continue', 'operations']",Pharma & Healthcare,Switzerland,1
281,Ideal Molde,"['continue', 'operations']",IT,Germany,1
282,IDEMIA,"['continue', 'operations']",Consumer Goods & Clothing,USA,1
283,Idemitsu Kosan,"['continue', 'operations']",Finance & Payments,China,1
284,IDEXX Labs,"['continue', 'operations']",Conglomerate,China,1
285,IELTS,"['continue', 'operations']",Chemical Industry,Italy,1
286,IFSC,"['continue', 'operations']","Energy, Oil & Gas",Italy,1
287,IG Group,"['continue', 'operations']","Energy, Oil & Gas",USA,1
288,Ignitis Group,"['continue', 'operations']",Automotive,USA,1
289,IGV,"['continue', 'operations']",Insurance,Netherlands,1
290,iHerb,"['continue', 'operations']",Engineering,Czech Republic,1
291,IHG,"['continue', 'operations']",Engineering,Germany,1
292,IHG Hotels & Resorts,"['continue', 'operations']",Food & Beverages,Austria,1
293,IHI Corporation,"['continue', 'operations']",Consumer Goods & Clothing,Turkey,1
294,Iida Group,"['continue', 'operations']",Construction & Architecture,Germany,1
295,Ik Tech,"['continue', 'operations']",Pharma & Healthcare,Denmark,1
296,Ikano Bank,"['continue', 'operations']",Finance & Payments,India,1
297,Ikea,"['continue', 'operations']",Manufacturing,Switzerland,1
298,Illinois Tool Works,"['continue', 'operations']",Automotive,USA,1
299,Illy,"['continue', 'operations']",Electronics,Japan,1
300,ImageShack,"['continue', 'operations']",Industrial Equipment,Austria,1
301,IMAX,"['continue', 'operations']",Advertising & PR,South Korea,1
302,IMAX Corporation,"['continue', 'operations']",Telecom,China,1
303,IMCD,"['continue', 'operations']",Gaming,Sweden,1
304,IMI PLC,"['continue', 'operations']",Consumer Goods & Clothing,Sweden,1
305,IMMERGAS,"['continue', 'operations']",Industrial Equipment,Germany,1
306,IMPA (International Marine Purchasing Association),"['continue', 'operations']",Logistics & Transport,Malaysia,1
307,Imperial Brands,"['continue', 'operations']",Food & Beverages,Thailand,1
308,Imperial Energy Corporation,"['continue', 'operations']",Finance & Payments,Japan,1
309,Imperva,"['continue', 'operations']",Construction & Architecture,Austria,1
310,In2Matrix,"['continue', 'operations']",Metals & Mining,United Kingdom,1
311,Inchcape,"['continue', 'operations']",Chemical Industry,Germany,1
312,INCO Engineering s.r.o.,"['continue', 'operations']",Automotive,Hong Kong,1
313,Incoff Aerospace,"['continue', 'operations']",Pharma & Healthcare,South Africa,1
314,Indeed,"['continue', 'operations']",Pharma & Healthcare,USA,1
315,Independent Media,"['continue', 'operations']",Automotive,Sweden,1
316,Indesit,"['continue', 'operations']",Manufacturing,Germany,1
317,Index Venture,"['continue', 'operations']",Electronics,Germany,1
318,Indian Institute of Spices Research (IISR),"['continue', 'operations']",Metals & Mining,United Kingdom,1
319,Indian Oil Corporation,"['continue', 'operations']",Food & Beverages,Austria,1
320,Indian Railways,"['continue', 'operations']",Pharma & Healthcare,Italy,1
321,Indie Cup,"['continue', 'operations']",Pharma & Healthcare,Germany,1
322,Inditex,"['continue', 'operations']",Agriculture,United Kingdom,1
323,inDrive,"['continue', 'operations']",Construction & Architecture,Germany,1
324,IndusInd Bank,"['continue', 'operations']",Industrial Equipment,South Korea,1
325,Industrial and Commercial Bank of China (ICBC),"['continue', 'operations']",Industrial Equipment,Germany,1
326,Industrial Bank (China),"['continue', 'operations']","Energy, Oil & Gas",Germany,1
327,Industrial Components Weirich,"['continue', 'operations']",Industrial Equipment,Germany,1
328,Ineos,"['continue', 'operations']",Logistics & Transport,Japan,1
329,Infineon,"['continue', 'operations']",Electronics,Hong Kong,1
330,Infiniti,"['continue', 'operations']",Agriculture,Norway,1
331,Infobip,"['continue', 'operations']",Industrial Equipment,Germany,1
332,Infosys,"['continue', 'operations']",Food & Beverages,Kenya,1
333,ING Bank,"['continue', 'operations']",Manufacturing,Serbia,1
334,Ingenico,"['continue', 'operations']",Consumer Goods & Clothing,Germany,1
335,Ingersoll Rand,"['continue', 'operations']",Industrial Equipment,Germany,1
336,Ingka,"['continue', 'operations']",Industrial Equipment,USA,1
337,Ingram Micro,"['continue', 'operations']",Automotive,Japan,1
338,InnoGames,"['continue', 'operations']",FMCG,Germany,1
339,InPost,"['continue', 'operations']",Consumer Goods & Clothing,Switzerland,1
340,"Inspire Brands (Dunkin' Donuts, Baskin Robins)","['continue', 'operations']",IT,United Kingdom,1
341,Inspur,"['continue', 'operations']",Consumer Goods & Clothing,Italy,1
342,Instagram,"['continue', 'operations']",Tourism & Travel,France,1
343,Instant Brands,"['continue', 'operations']",Fashion & Leisure,France,1
344,Institute of Internal Auditors,"['continue', 'operations']",Events & Education,USA,1
345,Insurance Corporation of British Columbia (ICBC),"['continue', 'operations']",Industrial Equipment,Japan,1
346,Insydium,"['continue', 'operations']",Industrial Equipment,United Kingdom,1
347,Integra Technologies,"['continue', 'operations']",Industrial Equipment,France,1
348,Intel,"['continue', 'operations']",Conglomerate,Germany,1
349,Intel и AMD,"['continue', 'operations']",Industrial Equipment,Italy,1
350,Inter Primo,"['continue', 'operations']",Engineering,Germany,1
351,Interactive Advertising Bureau,"['continue', 'operations']",Automotive,Germany,1
