№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
209;ДЖУНИПЕР НЕТВОРКИНГ СОЛЮШНЗ, ООО;5147746384869;DZHUNIPER NETVORKING SOLYUSHNZ, OOO;"ООО ""ДЖУНИПЕР НЕТВОРКИНГ СОЛЮШНЗ""";21.11.2014;8,0;7704881206;Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;45;43;44;54;55;"""left""";431 567 000;426 739 000;455 330 000;499 099 000;490 912 000;20 889 000;46 848 000;2 089 000;30 759 000;21 513 000
210;ДИАДЖЕО БРЕНДЗ ДИСТРИБЬЮТОРЗ, ООО;1047796114376;DIADZHEO BRENDZ DISTRIBYUTORZ, OOO;"ООО ""ДИАДЖЕО БРЕНДЗ ДИСТРИБЬЮТОРЗ""";25.02.2004;19,0;7707512341;Торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;10;8;5;3;6;"""left""";5 280 353 000;7 835 569 000;5 969 335 000;5 652 327 000;8 165 392 000;14 437 000;82 444 000;182 866 000;-42 928 000;412 480 000
211;ДИАДОРА, ООО;1167746793433;DIADORA, OOO;"ООО ""ДИАДОРА""";23.08.2016;6,5;7727298350;Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;3;3;3;2;"""left""";157 080 000;156 133 000;162 090 000;101 368 000;48 067 000;839 000;;864 000;3 012 000;705 000
212;ДИБОЛД НИКСДОРФ, ООО;1077759119349;DIBOLD NIKSDORF, OOO;"ООО ""ДИБОЛД НИКСДОРФ""";15.08.2007;15,5;7707635872;Торговля оптовая прочими машинами, оборудованием и принадлежностями;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;59;103;159;147;140;"""left""";147 102 000;3 553 501 000;2 735 118 000;3 146 618 000;3 495 280 000;-2 623 000;87 946 000;243 386 000;201 470 000;384 396 000
213;ДИДИ, ООО;1127847377052;DIDI, OOO;"ООО ""ДИДИ""";16.07.2012;10,5;7801579135;Деятельность творческая, деятельность в области искусства и организации развлечений;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;3;3;4;4;1;"""left""";624 000;3 364 000;3 217 000;1 584 000;6 382 000;-87 000;2 418 000;1 790 000;19 000;3 857 000
214;ДИСНЕЙ НЕТВОРКС ГРУП, ООО;1097746494856;DISNEY NETWORKS GROUP, LLC;"ООО ""ДИСНЕЙ НЕТВОРКС ГРУП""";31.08.2009;13,5;7704732229;Деятельность в области телевизионного вещания;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;15;16;16;13;;"""left""";307 155 000;307 155 000;371 193 000;352 000 000;;19 254 000;16 727 000;71 060 000;113 426 000;-681 000
215;ДМГ МОРИ РУС, ООО;1057746399633;DMG MORI RUS, OOO;"ООО ""ДМГ МОРИ РУС""";13.01.2005;18,0;7707537258;Торговля оптовая металлообрабатывающими станками;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;107;96;101;113;119;"""left""";4 465 709 000;5 480 809 000;5 591 581 000;4 578 025 000;5 551 924 000;55 577 000;190 266 000;518 321 000;28 382 000;70 112 000
216;ДОВ-КЛИНИК, ООО;1220500007562;DOW-CLINIC, LLC;"ООО ""ДОВ-КЛИНИК""";16.06.2022;0,5;0572031077;Деятельность больничных организаций;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
217;ДОКЕР ДРАФТ, ООО;1112540006006;DOCKER DRAFT, CO. LTD.;"ООО ""ДОКЕР ДРАФТ""";26.07.2011;11,5;2540173361;Производство пива;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;16;14;14;;1;"""left""";13 582 000;17 161 000;17 450 000;9 184 000;925 000;-1 030 000;-1 059 000;-2 136 000;-4 746 000;-11 590 000
218;ДОКТОР ЛЕКСУС, ООО;1227700241746;DOCTOR LEXUS, LLC;"ООО ""ДОКТОР ЛЕКСУС""";25.04.2022;0,5;9704135402;Техническое обслуживание и ремонт автотранспортных средств;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
219;ДР.ТАЙСС НАТУРВАРЕН РУС, ООО;1117746202969;DR.TAISS NATURVAREN RUS, OOO;"ООО ""ДР.ТАЙСС НАТУРВАРЕН РУС""";21.03.2011;12,0;7725718602;Торговля оптовая парфюмерными и косметическими товарами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;335;254;174;140;142;"""left""";3 541 825 000;3 501 486 000;3 164 461 000;3 358 695 000;3 165 179 000;69 243 000;-199 360 000;6 069 000;-202 852 000;-62 823 000
220;ДРТ КОНСАЛТИНГ, ООО;1147748151220;DRT KONSALTING, OOO;"ООО ""ДРТ КОНСАЛТИНГ""";25.12.2014;8,0;7710976720;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;608;630;668;665;663;"""left""";2 692 837 000;3 458 898 000;3 365 687 000;4 179 886 000;4 495 694 000;-128 322 000;172 075 000;-27 200 000;451 184 000;337 542 000
221;ДСВ, ООО;1205000006200;DSV, OOO;"ООО ""ДСВ""";27.01.2020;3,0;5038152298;Производство прочей верхней одежды;Общества с ограниченной ответственностью;Частная собственность;;;;;;1;"""left""";;;;;;;;;-256 000;-413 000
222;ДТ ГБС РУС, ООО;1027700162016;DT GBS RUS, LLC;"ООО ""ДТ ГБС РУС""";16.01.2002;21,0;7705223633;Деятельность по предоставлению услуг телефонной связи;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;20;19;19;17;14;"""left""";638 898 000;607 982 000;530 136 000;478 743 000;393 142 000;108 713 000;102 520 000;115 644 000;164 411 000;161 131 000
223;ДУКАТИ, ООО;1227700465794;DUCATI, LLC;ООО ДУКАТИ;03.08.2022;0,5;9726018325;"Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов";Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
224;ДХЛ ЭКСПРЕСС, ООО;1117746341570;DKHL EKSPRESS, OOO;"ООО ""ДХЛ ЭКСПРЕСС""";28.04.2011;11,5;7713727881;Деятельность вспомогательная прочая, связанная с перевозками;Общества с ограниченной ответственностью;Частная собственность;Средние предприятия;217;221;228;238;248;"""left""";772 060 000;869 536 000;1 021 579 000;1 190 155 000;1 604 399 000;400 786 000;467 283 000;603 350 000;690 088 000;1 032 742 000
225;ДЭБ-ШТОКО, ООО;1147746931199;DEB-SHTOKO, OOO;"ООО ""ДЭБ-ШТОКО""";15.08.2014;8,5;7709960620;Торговля оптовая парфюмерными и косметическими товарами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;23;22;18;1;;"""left""";209 156 000;185 832 000;207 839 000;5 559 000;;-13 301 000;-36 762 000;-55 860 000;-48 369 000;-4 994 000
226;ЕВРАЗИЙСКАЯ СЕЙСМО АССОЦИАЦИЯ (ЕАСА);1187700010431;EVRAZISKAYA SEISMO ASSOTSIATSIYA (EASA);ЕВРАЗИЙСКАЯ СЕЙСМО АССОЦИАЦИЯ (ЕАСА);18.06.2018;4,5;7722461860;Деятельность профессиональных членских организаций;Объединения юридических лиц;Частная собственность;Микропредприятия;;;;;;"""left""";;197 000;3 024 000;1 239 000;4 347 000;;-1 884 000;-140 000;113 000;3 267 000
227;ЕВРОСПОРТ, ООО;1127746381784;EVROSPORT, OOO;"ООО ""ЕВРОСПОРТ""";17.05.2012;10,5;7731426936;Торговля розничная спортивным оборудованием и спортивными товарами в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;2;1;;2;"""left""";1 756 000;8 060 000;11 677 000;5 655 000;10 941 000;963 000;-632 000;-348 000;46 000;1 661 000
228;ЕДЕКА, ООО;1136912000037;EDEKA, OOO;"ООО ""ЕДЕКА""";18.02.2013;10,0;6912011272;Производство прочих деревянных строительных конструкций и столярных изделий;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;1;1;1;"""left""";240 000;258 000;430 000;1 214 000;460 000;-39 000;-70 000;-47 000;-95 000;1 000
229;ЕМС ГАРАНТПОСТ, ООО;1037739769484;EMS GARANTPOST, OOO;"ООО ""ЕМС ГАРАНТПОСТ""";28.08.1991;31,5;7724069257;Деятельность почтовой связи общего пользования;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;209;165;154;135;130;"""left""";353 961 000;296 722 000;267 148 000;217 812 000;223 513 000;-36 099 000;-24 793 000;-28 987 000;-27 082 000;-28 840 000
230;ЕНИ, ООО;1107746265395;ENI, OOO;"ООО ""ЕНИ""";07.04.2010;13,0;7701872122;Торговля оптовая неспециализированная;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;1;1;1;1;"""left""";399 000;45 000;4 237 000;760 000;17 193 000;-1 159 000;-1 000;126 000;113 000;304 000
231;ЕПК-БРЕНКО ПОДШИПНИКОВАЯ КОМПАНИЯ, ООО;1086451001251;EPK-BRENCO BEARING COMPANY, LLC;"ООО ""ЕПК - БРЕНКО ПОДШИПНИКОВАЯ КОМПАНИЯ""";12.05.2008;14,5;6451421154;Производство шариковых и роликовых подшипников;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;101 - 150;160;136;140;189;"""Сервисы"", ""left""";3 796 187 000;2 224 224 000;2 233 398 000;2 765 008 000;;666 752 000;130 303 000;249 112 000;284 186 000;
232;ЖА АПТЕКА, ООО;1057749117458;ZHA APTEKA, OOO;"ООО ""ЖА АПТЕКА""";17.11.2005;17,0;7709644706;Торговля розничная лекарственными средствами в специализированных магазинах (аптеках);Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;3;3;2;2;2;"""left""";10 510 000;10 923 000;10 540 000;12 198 000;12 568 000;270 000;720 000;138 000;1 074 000;915 000
233;ЖЭ, ООО;1097746351670;ZHE, OOO;"ООО ""ЖЭ""";15.06.2009;13,5;7705891020;Торговля оптовая неспециализированная;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;1;1;1;"""left""";90 000;15 000;1 134 000;1 777 000;1 514 000;6 000;5 368 000;461 000;1 150 000;880 000
