№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
1;3М ВОЛГА, ООО;1121674003384;3M VOLGA, OOO;"ООО""3М ВОЛГА""";16.08.2012;10,5;1646033450;Торговля оптовая прочими бытовыми товарами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;4;8;7;8;7;"""left""";13 300 000;104 722 000;218 916 000;19 484 000;153 458 000;-154 449 000;-147 371 000;-135 529 000;-196 685 000;-172 832 000
2;CCC, ООО;1198617007027;OOO C, CJSC;"ООО ""CCC""";18.06.2019;3,5;8608060872;Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;4;6;9;"""left""";;;;65 126 000;47 022 000;;;-381 000;8 130 000;213 000
3;WIX-SZ, ООО;1133538000133;WIX-SZ, OOO;"ООО ""WIX-SZ""";12.02.2013;10,0;3526030067;Работы строительные специализированные прочие, не включенные в другие группировки;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;2;1;3;2;"""SMEs Russia"", ""left""";18 049 000;11 592 000;5 157 000;11 399 000;15 481 000;558 000;548 000;279 000;422 000;543 000
4;А.С. ГРУПП, ООО;1192375029120;A.S. GROUP, LLC;"ООО ""А.С. ГРУПП""";16.04.2019;4,0;2310213891;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Собственность иностранных граждан и лиц без гражданства;Микропредприятия;;;1;2;1;"""left""";;;1 586 000;5 833 000;;;;-2 667 000;-914 000
5;АББ, ООО;1027739194340;ABB, OOO;"ООО ""АББ""";13.12.2000;22,0;7727180430;Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;501 - 1 000;;;;"""РОБОТОТЕХНИКА"", ""left"", ""ИНН робо""";21 012 268 000;23 143 045 000;22 362 311 000;23 544 957 000;23 339 744 000;1 908 551 000;1 011 902 000;1 142 817 000;-33 797 000;1 555 765 000
6;АВАНГАРД, ООО;1167536052353;AVANGARD, OOO;"ООО ""АВАНГАРД""";25.03.2016;7,0;7536158218;Деятельность спортивных объектов;Общества с ограниченной ответственностью;Частная собственность;;1;;1;;;"""left""";;;;;;;;;;
7;АВАСТ, ООО;1227700069475;AVAST, OOO;"ООО ""АВАСТ""";14.02.2022;1,0;9704118260;Торговля оптовая прочими строительными материалами и изделиями;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
8;АВВ, АО;1025801441280;AVV, AO;"АО ""АВВ""";13.04.1995;28,0;5837009706;Аренда и управление собственным или арендованным недвижимым имуществом;Непубличные акционерные общества;Частная собственность;Микропредприятия;8;6;5;4;3;"""SMEs Russia"", ""left""";25 717 000;14 585 000;10 632 000;6 131 000;2 777 000;2 105 000;2 727 000;-154 000;-109 000;-6 573 000
9;АВЕДА, ООО;1167746695467;AVEDA, OOO;"ООО ""АВЕДА""";25.07.2016;6,5;7702404110;Стоматологическая практика;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;2;5;5;"""left""";;1 271 000;6 653 000;21 860 000;43 835 000;-12 000;-7 473 000;-12 825 000;3 512 000;2 988 000
10;АВИАКОМПАНИЯ ВОЛГА-ДНЕПР, ООО;1077328004841;AVIAKOMPANIYA VOLGA-DNEPR, OOO;"ООО "" АВИАКОМПАНИЯ ВОЛГА-ДНЕПР""";24.04.2007;15,5;7328510118;Перевозка воздушным грузовым транспортом, не подчиняющимся расписанию;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";15 550 438 000;11 721 950 000;7 542 733 000;15 114 169 000;18 875 859 000;3 633 764 000;6 924 264 000;-2 147 910 000;4 888 297 000;5 217 270 000
11;АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД, МОФ;1037746023061;AVIATSIONNO-KOSMICHESKI FOND, MOF;"МОФ ""АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД""";24.12.2003;19,0;7730175408;Деятельность экстерриториальных организаций и органов;Общественные фонды;Собственность общественных объединений;;0 - 5;;;;;"""left""";;;;;;-53 000;-159 000;-45 000;10 000;6 000
12;АВИД, ООО;1175958012394;AVID, OOO;"ООО ""АВИД""";23.03.2017;6,0;5905051018;Ремонт машин и оборудования;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;1;1;1;"""left""";;;34 000;;2 352 000;;;-1 902 000;-656 000;-1 140 000
13;АВИРА, ООО;1095905001026;AVIRA, OOO;"ООО ""АВИРА""";17.02.2009;14,0;5905268860;Торговля оптовая играми и игрушками;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;43;47;41;26;21;"""SMEs Russia"", ""left""";290 483 000;289 683 000;211 027 000;130 063 000;107 819 000;6 161 000;8 873 000;4 856 000;2 220 000;1 505 000
14;АВТОВАЗ, АО;1026301983113;AVTOVAZ, AO;"АО ""АВТОВАЗ""";05.01.1993;30,0;6320002223;Производство легковых автомобилей;Непубличные акционерные общества;Частная собственность;Крупные предприятия;> 5 000;36 459;;;;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";233 826 000 000;291 773 000 000;292 009 645 000;256 851 214 000;301 234 909 000;-13 485 000 000;1 010 000 000;-37 632 000;592 603 000;4 942 259 000
15;АГРИКООП. ГРУППА АНЕКООП, ООО;1097746777589;AGRIKOOP. GRUPPA ANEKOOP, OOO;"ООО ""АГРИКООП. ГРУППА АНЕКООП""";04.12.2009;13,0;7719738110;Торговля оптовая фруктами и овощами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;7;7;7;7;5;"""left""";239 326 000;305 847 000;265 373 000;424 254 000;222 206 000;2 450 000;8 035 000;2 453 000;12 233 000;-18 011 000
16;АГРОФИРМА БАРРЕЛЬ, ООО;1022101284435;AGROFIRMA BARREL, OOO;"ООО ""АГРОФИРМА ""БАРРЕЛЬ""";05.11.1999;23,0;2129032796;Аренда и управление собственным или арендованным недвижимым имуществом;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;9;8;8;13;9;"""left""";10 122 000;8 474 000;7 651 000;7 950 000;10 798 000;87 000;-3 366 000;-8 837 000;-1 639 000;2 508 000
17;АДАМЕД РАША, ООО;5137746076749;ADAMED RASHA, OOO;"ООО ""АДАМЕД РАША""";14.11.2013;9,0;7710951638;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;21;24;28;29;33;"""left""";328 237 000;319 095 000;315 458 000;259 242 000;317 050 000;5 691 000;24 921 000;-1 637 000;-5 222 000;-13 635 000
18;АДИДАС, ООО;1027700105993;ADIDAS, LTD, LLC;"ООО ""АДИДАС""";10.08.1998;24,5;7714037390;Торговля розничная одеждой в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;> 5 000;> 5 000;;;;"""left""";40 578 958 000;40 705 698 000;43 726 498 000;45 291 717 000;55 638 592 000;-1 039 806 000;2 186 152 000;2 555 438 000;3 237 475 000;5 089 614 000
19;АЙ ПИ ДЖИ ГЛОБАЛ РУС, ООО;1167746089565;AI PI DZHI GLOBAL RUS, OOO;"ООО ""АЙ ПИ ДЖИ ГЛОБАЛ РУС""";26.01.2016;7,0;7707359534;Деятельность рекламных агентств;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;7;7;6;7;9;"""left""";96 244 000;102 754 000;73 106 000;62 019 000;96 414 000;2 947 000;4 889 000;3 771 000;3 060 000;4 940 000
20;АЙ ЭЙЧ ПИ АППЛАЕНСЕС СЕЙЛС, ООО;1097746370820;IHP APPLIANCES SALES, LLC;"ООО ""АЙ ЭЙЧ ПИ АППЛАЕНСЕС СЕЙЛС""";25.06.2009;13,5;7717654289;Торговля оптовая электрической бытовой техникой;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;251 - 500;251 - 500;;;;"""left""";26 351 855 000;27 354 303 000;28 690 337 000;33 387 760 000;40 832 746 000;1 036 907 000;1 783 902 000;725 783 000;4 552 120 000;2 592 932 000
21;АЙ ЭЙЧ ПИ АППЛАЕНСЕС, АО;1024840840606;IHP APPLIANCES, JSC;"АО ""АЙ ЭЙЧ ПИ АППЛАЕНСЕС""";25.11.1994;28,0;4823005682;Производство бытовых электрических приборов;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;2 638;2 665;;;"""Сервисы"", ""left""";20 012 584 000;21 289 736 000;22 414 784 000;22 768 316 000;29 081 043 000;1 871 652 000;1 400 163 000;1 472 202 000;-374 566 000;326 729 000
22;АЙМАКС, ООО;1107746501158;AIMAKS, OOO;"ООО ""АЙМАКС""";22.06.2010;12,5;7728739819;Торговля оптовая непродовольственными потребительскими товарами;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;17;17;16;14;14;"""left""";155 568 000;175 070 000;178 224 000;232 696 000;306 275 000;2 872 000;12 231 000;15 454 000;15 227 000;23 727 000
23;АЙСБЕРГ, ООО ЧОО;1022900520477;AISBERG, OOO CHOO;"ООО ЧОО ""АЙСБЕРГ""";01.12.1995;27,0;2901073054;Деятельность охранных служб, в том числе частных;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;65;50;37;;54;"""left""";32 034 000;26 144 000;22 177 000;32 303 000;42 547 000;-202 000;-702 000;704 000;4 356 000;3 810 000
24;АЙСИБИСИ, ООО;1211600033468;ICBC, LLC;"ООО ""АЙСИБИСИ""";28.04.2021;1,5;1655457135;Производство гидравлического и пневматического силового оборудования;Общества с ограниченной ответственностью;Частная собственность;;;;;;1;"""left""";;;;;;;;;;
25;АЙСИЭЛ-КПО ВС, АО;1021603632170;AISIEL-KPO VS, AO;"АО ""АЙСИЭЛ-КПО ВС""";11.11.1994;28,0;1660014361;Разработка компьютерного программного обеспечения;Непубличные акционерные общества;Частная собственность;Средние предприятия;251 - 500;507;538;229;227;"""left""";2 271 552 000;2 870 755 000;2 273 155 000;1 392 878 000;1 189 146 000;81 236 000;222 512 000;23 453 000;21 044 000;17 697 000
26;АЙСКЕТ, ООО;1215800000041;ICECAT, LLC;"ООО ""АЙСКЕТ""";13.01.2021;2,0;5836695234;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;9;"""left""";;;;;436 000;;;;;-5 605 000
27;АЙТЭК, ООО;1117746589476;AITEK, OOO;"ООО ""АЙТЭК""";29.07.2011;11,5;7734660998;Торговля оптовая изделиями, применяемыми в медицинских целях;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;1;7;11;10;11;"""left""";180 889 000;243 764 000;220 341 000;239 618 000;309 242 000;40 535 000;79 491 000;45 777 000;48 717 000;24 796 000
28;АЙХЁРБ РУ, ООО;1197746697004;AIKHERB RU, OOO;ООО «АЙХЁРБ РУ»;28.11.2019;3,0;9710079940;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;;;1;15;24;"""left""";;;;198 545 000;1 031 144 000;;;;8 984 000;63 888 000
29;АЙЭФСИЭМ ГРУПП, ООО;1027739281888;AIEFSIEM GRUPP, OOO;"ООО ""АЙЭФСИЭМ ГРУПП""";28.06.2002;20,5;7722267655;Деятельность ресторанов и услуги по доставке продуктов питания;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;3 630;3 290;3 911;"""left""";4 482 944 000;4 536 749 000;6 608 793 000;5 500 267 000;7 449 886 000;-103 517 000;-100 576 000;316 786 000;8 930 000;-307 983 000
30;АК ТРАНСАЭРО, ОАО;1025700775870;AK TRANSAERO, OAO;"ОАО ""АК ""ТРАНСАЭРО""";24.03.1998;25,0;5701000985;Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию;Публичные акционерные общества;Частная собственность;Микропредприятия;26;30;19;;15;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";;1 443 000;74 917 000;11 518 000;4 844 000;;-367 583 000;-119 145 000;-122 979 000;-99 175 000
31;АКАДЕМИЯ СЕЛЛЕРОВ ЭТСИ, ООО;1224300007535;ETSY SELLERS ACADEMY, LLC;"ООО ""АКАДЕМИЯ СЕЛЛЕРОВ ЭТСИ""";21.10.2022;0,0;4345520897;Образование дополнительное детей и взрослых;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
32;АКАМАЙ ТЕХНОЛОДЖИС, ООО;1147746771369;AKAMAI TEKHNOLODZHIS, OOO;"ООО ""АКАМАЙ ТЕХНОЛОДЖИС""";08.07.2014;8,5;7705325709;Деятельность по созданию и использованию баз данных и информационных ресурсов;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;1;1;1;1;1;"""left""";21 398 000;18 317 000;2 953 000;;;1 019 000;872 000;-186 000;-233 000;-232 000
33;АКВЕЛОН-ИВАНОВО, ООО;1113702010784;AKVELON-IVANOVO, CO. LTD.;"ООО ""АКВЕЛОН-ИВАНОВО""";19.04.2011;11,5;3702645510;Деятельность по созданию и использованию баз данных и информационных ресурсов;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Малые предприятия;49;65;44;23;17;"""left""";73 973 000;104 623 000;110 049 000;110 711 000;157 161 000;6 209 000;4 356 000;5 213 000;3 204 000;11 621 000
34;АККУМАЛЮКС РУС, ООО;1166313118388;ACCUMALUX RUS, LLC;"ООО ""АККУМАЛЮКС РУС""";15.02.2007;16,0;6321413868;Производство прочих пластмассовых изделий;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;68;62;65;72;71;"""Сервисы"", ""left""";376 634 000;479 046 000;535 154 000;473 112 000;651 918 000;81 437 000;74 526 000;115 357 000;66 615 000;65 829 000
35;АКРИХИН, АО;1025003911570;CHEMICO-PHARMACEUTICAL WORKS AKRIKHIN, JSC;"АО ""АКРИХИН""";16.10.1992;30,5;5031013320;Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 469;1 503;;;"""Для ЛС"", ""left"", ""Сервисы"", ""для ЛС по сделкам""";13 185 868 000;14 295 428 000;15 768 912 000;18 063 598 000;;1 948 729 000;1 621 612 000;2 301 903 000;3 254 067 000;
36;АКРОНИС, ООО;1047796590588;AKRONIS, OOO;"ООО ""АКРОНИС""";11.08.2004;18,5;7715532020;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;496;494;452;376;316;"""left""";1 793 551 000;1 880 062 000;1 790 000 000;1 560 000 000;1 361 742 000;88 781 000;79 759 000;44 663 000;106 652 000;62 660 000
37;АКСИОМА СД, ООО;1147847113127;AKSIOMA SD, OOO;"ООО ""АКСИОМА СД""";01.04.2014;9,0;7813585415;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;51 - 100;99;107;111;107;"""left""";242 602 000;258 212 000;333 123 000;361 672 000;357 561 000;19 762 000;21 444 000;26 247 000;30 018 000;26 358 000
38;АКСТИМ, ООО;1027705028405;AXTEAM, LLC;"ООО ""АКСТИМ""";15.11.2002;20,0;7705476338;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;811;1 109;1 317;1 405;1 763;"""left""";3 476 090 000;5 943 582 000;6 758 420 000;8 023 747 000;10 980 638 000;288 077 000;1 422 985 000;1 143 747 000;2 315 285 000;2 738 589 000
39;АКТУАЛ МЕДИА- АМЕТЕК, ООО;1047796097667;AKTUAL MEDIA- AMETEK, OOO;"ООО ""АКТУАЛ МЕДИА-""АМЕТЕК""";19.02.2004;19,0;7705583555;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;3;3;4;4;4;"""left""";3 816 000;3 259 000;3 020 000;2 860 000;2 967 000;1 895 000;1 231 000;1 202 000;1 080 000;1 222 000
40;АЛДИ, ООО;1137746267922;ALDI, OOO;"ООО ""АЛДИ""";27.03.2013;10,0;7717749220;Торговля оптовая санитарно-техническим оборудованием;Общества с ограниченной ответственностью;Частная собственность;;1;1;1;1;1;"""left""";;403 000;;;;;30 000;;;
41;АЛС, АО;1053500285673;ALS, AO;"АО ""АЛС""";31.08.2005;17,5;3528103017;Производство промышленных газов;Непубличные акционерные общества;Совместная частная и иностранная собственность;Крупные предприятия;33;;34;37;35;"""left""";4 241 597 000;4 085 493 000;4 219 756 000;4 261 008 000;3 935 799 000;1 758 438 000;1 923 752 000;2 082 180 000;2 148 197 000;2 038 560 000
42;АЛТАЙ ХОЛДИНГ, ООО;1022201526610;ALTAI KHOLDING, OOO;"ООО ""АЛТАЙ ХОЛДИНГ""";02.04.1998;25,0;2224046904;Деятельность рекламная;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;;;;1;1;"""left""";5 125 000;4 782 000;4 039 000;2 618 000;2 335 000;4 705 000;4 359 000;1 102 000;2 233 000;1 809 000
43;АЛЬСТОМ ТРАНСПОРТ РУС, ООО;1137746174532;ALSTOM TRANSPORT RUS, OOO;"ООО ""АЛЬСТОМ ТРАНСПОРТ РУС""";28.02.2013;10,0;7722801637;Производство железнодорожных локомотивов и подвижного состава;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;20;15;16;17;17;"""left""";166 031 000;177 803 000;81 233 000;232 720 000;183 036 000;505 987 000;-42 981 000;-47 404 000;15 838 000;28 947 000
44;АЛЬТИУМ, ООО;1144313000292;ALTIUM, OOO;"ООО ""АЛЬТИУМ""";09.06.2014;8,5;4337005035;Производство электромонтажных работ;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;1;1;1;"""left""";1 626 000;1 413 000;1 503 000;1 136 000;2 472 000;446 000;330 000;244 000;145 000;757 000
45;АЛЬЯНС СПРАЙТ, ООО;1227700409111;ALLIANCE SPRITE, LLC;"ООО ""АЛЬЯНС СПРАЙТ""";11.07.2022;0,5;7736342341;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
46;АЛЬЯНС, АО СК;1027739095438;ALYANS, AO SK;"АО СК ""АЛЬЯНС""";14.01.1992;31,0;7702073683;Страхование, кроме страхования жизни;Непубличные акционерные общества;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
47;АМ-БЭСТ, ООО;1216600071852;AM-BEST, OOO;"ООО ""АМ-БЭСТ""";01.12.2021;1,0;6685194891;Ремонт электронной бытовой техники;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
48;АМВЭЙ, ООО;1047796037959;AMVEI, OOO;"ООО ""АМВЭЙ""";26.01.2004;19,0;7704511011;Торговля розничная прочая в неспециализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;251 - 500;;;;"""left""";14 531 161 000;13 440 939 000;12 680 515 000;14 208 894 000;15 277 161 000;29 498 000;-305 520 000;2 646 000;115 933 000;829 731 000
49;АМДЖЕН, ООО;5067746403490;AMDZHEN, OOO;"ООО ""АМДЖЕН""";04.09.2006;16,5;7705750830;Торговля оптовая фармацевтической продукцией;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;90;86;98;135;149;"""left""";5 047 981 000;5 252 039 000;6 961 183 000;8 827 413 000;10 857 816 000;-17 112 000;520 594 000;421 311 000;538 256 000;288 436 000
50;АМДОКС СОЛЮШНЗ ЛТД, ООО;1037739039722;AMDOKS SOLYUSHNZ LTD, OOO;"ООО ""АМДОКС СОЛЮШНЗ ЛТД""";13.09.2001;21,5;7710393180;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;55;53;112;156;148;"""left""";932 459 000;1 048 177 000;1 248 309 000;1 331 269 000;1 657 957 000;274 494 000;548 713 000;268 485 000;607 020 000;58 873 000
51;АМЕДИА ПРОДАКШН, ООО;1077762857930;AMEDIA PRODAKSHN, OOO;"ООО ""АМЕДИА ПРОДАКШН""";23.11.2007;15,0;7722630773;Производство кинофильмов, видеофильмов и телевизионных программ;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;19;20;19;15;13;"""left""";205 818 000;216 199 000;609 208 000;742 148 000;647 384 000;-185 481 000;-222 453 000;213 262 000;-1 282 217 000;-10 220 000
52;АМЕР СПОРТС, ЗАО;1045000925375;AMER SPORTS, ZAO;"ЗАО ""АМЕР СПОРТС""";29.12.2004;18,0;5003052687;Торговля оптовая спортивными товарами, включая велосипеды;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;122;109;112;103;101;"""left""";2 352 895 000;2 537 509 000;3 030 529 000;3 128 771 000;4 321 799 000;85 315 000;147 645 000;201 187 000;415 284 000;601 726 000
53;АМЕРИКЭН ЭКСПРЕСС БАНК, ООО;1057711014800;AMERIKEN EKSPRESS BANK, OOO;"ООО ""АМЕРИКЭН ЭКСПРЕСС БАНК""";15.12.2005;17,0;7750003950;Денежное посредничество прочее;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
54;АМИКА, ООО;1056362018910;AMIKA, OOO;"ООО ""АМИКА""";17.08.2005;17,5;6362011766;Торговля розничная лекарственными средствами в специализированных магазинах (аптеках);Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;1;1;2;2;"""left""";1 322 000;2 399 000;2 332 000;2 683 000;2 538 000;69 000;26 000;2 000;360 000;-109 000
55;АМР, АО;1047796161830;AMR, AO;"АО ""АМР""";15.03.2004;19,0;7709534220;Производство алюминия;Непубличные акционерные общества;Частная собственность;Крупные предприятия;1 001 - 5 000;;;;;"""Сервисы"", ""left""";9 616 538 000;9 754 266 000;10 421 550 000;11 013 249 000;;161 775 000;-10 711 000;457 951 000;808 549 000;
56;АМРЕСТ, ООО;1027809227050;AMREST, OOO;"ООО ""АМРЕСТ""";06.10.1994;28,5;7825335145;Деятельность ресторанов и услуги по доставке продуктов питания;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;4 437;4 896;;;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";8 955 121 000;10 219 320 000;12 090 690 000;10 660 305 000;14 579 861 000;-125 551 000;-230 503 000;161 413 000;182 544 000;1 181 357 000
57;АБ ИНБЕВ ЭФЕС, АО;1045003951156;AB INBEV EFES, AO;"АО ""АБ ИНБЕВ ЭФЕС""";02.03.2004;19,0;5020037784;Производство пива;Непубличные акционерные общества;Совместная частная и иностранная собственность;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""Сервисы"", ""left""";28 651 322 000;31 060 258 000;66 010 719 000;76 884 209 000;85 384 921 000;-5 513 654 000;-1 349 304 000;225 182 000;2 854 523 000;5 338 806 000
58;АНДЕР АРМОР РАША, ООО;1177746067146;ANDER ARMOR RASHA, OOO;"ООО ""АНДЕР АРМОР РАША""";27.01.2017;6,0;7704388939;Торговля оптовая одеждой;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;3;6;12;3;;"""left""";1 100 438 000;762 727 000;1 056 955 000;387 003 000;82 953 000;153 383 000;-337 682 000;-223 707 000;-48 205 000;-332 003 000
59;АНДРИТЦ, ООО;1027810235078;ANDRITZ, LLC;"ООО ""АНДРИТЦ""";03.07.2001;21,5;7826085064;Деятельность по техническому контролю, испытаниям и анализу прочая;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;24;34;43;60;72;"""left""";324 828 000;803 554 000;714 886 000;1 378 305 000;2 233 998 000;49 107 000;96 632 000;101 803 000;362 879 000;426 757 000
60;АНКОР, ООО;1137746071385;ANKOR, OOO;"ООО ""АНКОР""";01.02.2013;10,0;7710931670;Деятельность ресторанов и услуги по доставке продуктов питания;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;5;8;12;;3;"""left""";38 321 000;58 474 000;48 670 000;12 221 000;11 126 000;4 082 000;65 000;37 604 000;1 079 000;1 468 000
61;АНЛИМ, АНО ПО РАЗВИТИЮ И ПОДДЕРЖКЕ ЛЮБИТЕЛЬСКОГО СПОРТА;1216000004461;FOR THE SUPPORT AND DEVELOPMENT OF AMATEUR SPORTS UNLIM, ANO;"АНО ПО РАЗВИТИЮ И ПОДДЕРЖКЕ ЛЮБИТЕЛЬСКОГО СПОРТА ""АНЛИМ""";28.09.2021;1,5;6027206271;Деятельность в области спорта прочая;Автономные некоммерческие организации;Частная собственность;;;;;;;"""left""";;;;;;;;;;
62;АНСИС, ООО;1117746793670;ANSIS, OOO;"ООО ""АНСИС""";07.10.2011;11,5;7726683960;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;3;3;3;6;6;"""left""";32 461 000;41 546 000;53 803 000;50 909 000;70 785 000;1 038 000;762 000;244 000;-163 000;958 000
63;АПАТИТ, АО;1025100561012;APATIT, AO;"АО ""АПАТИТ""";15.06.1992;30,5;5103070023;Производство удобрений и азотных соединений;Непубличные акционерные общества;Частная собственность;Крупные предприятия;> 5 000;;;11 526;;"""Сервисы"", ""left""";104 322 901 000;203 281 465 000;216 108 010 000;214 124 018 000;;26 339 899 000;39 316 843 000;49 036 357 000;34 547 804 000;
64;АПГ ВОСТОЧНАЯ ЕВРОПА, АО;1027808012968;APG EASTERN EUROPE, JSC;"АО ""АПГ ВОСТОЧНАЯ ЕВРОПА""";07.07.2000;22,5;4705019858;Производство пластмассовых изделий для упаковывания товаров;Непубличные акционерные общества;Собственность иностранных юридических лиц;Средние предприятия;123;102;106;101;107;"""Сервисы"", ""left""";1 312 936 000;1 700 956 000;1 386 150 000;1 185 040 000;1 978 728 000;10 658 000;32 186 000;36 413 000;51 728 000;49 637 000
65;АРД, ООО;1094303000362;ARD, OOO;"ООО ""АРД""";17.12.2009;13,0;4319006639;Лесозаготовки;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;4;7;8;15;"""left""";4 347 000;16 136 000;12 523 000;22 847 000;45 286 000;1 289 000;3 480 000;-976 000;4 024 000;17 265 000
66;АРЛА ПРОЕКТ, ООО;1167746162100;ARLA PROEKT, OOO;"ООО ""АРЛА ПРОЕКТ""";15.02.2016;7,0;7729493082;Прочие виды полиграфической деятельности;Общества с ограниченной ответственностью;Собственность иностранных граждан и лиц без гражданства;;3;3;1;1;1;"""left""";27 643 000;19 751 000;1 803 000;;;126 000;114 000;23 000;;
