,Name,Action
151,Международная шахматная федерация,перенос Шахматной Олимпиады — 2022 из России
152,Ассоциация теннисистов-профессионалов,перенос турнира из Санкт-Петербурга в Нур-Султан
153,Международная федерация кёрлинга,перенос ЧЕ-2022
154,Международная федерация спортивной стрельбы,перенос ЧЕ-2022
155,Международная федерация университетского спорта,отстранила спортсменов от Универсиады-2022
156,PokerStars,"приостановила деятельность, отменила покерный турнир в Сочи"
157,BP,"разорвала связи с российскими партнёрами, отказалась от покупок"
158,Shell,"разорвала связи с партнёрами, отказалась от покупок"
159,Equinor,разорвала связи с партнёрами
160,TotalEnergies,перестала инвестировать в российские проекты
161,ExxonMobil,выйдет из проекта «Сахалин-1»
162,Fortum,остановила новые инвестпроекты
163,BASF,отказалась от новых проектов
164,Kinross Gold,приостановила работу
165,KONE,приостановила поставки
166,Komatsu,приостановила поставки
167,OMV,приостановила новые инвестиции
168,General Electric,приостановила деятельность
169,Sandvik,приостановила деятельность
170,Alcoa,приостановила продажи
171,UPM,приостановила производство и закупку
172,Alstom,приостановила поставки
173,Caterpillar,приостановила производство
174,Rio Tinto,разорвала связи с партнёрами
175,Eni,приостановила закупки
176,Tadano,приостановила поставки
177,Е.ON,приостановила закупки
178,Otis,приостановила инвестиции и приём заказов
179,Deere,приостановила поставки
180,Rolls-Royce,прекратила поставки двигателей и запчастей для «Аэрофлота» и автомобилей
181,Boeing,приостановила техподдержку российских авиакомпаний
182,Airbus,приостановила деятельность в России
183,Dassault Aviation,приостановила продажи джетов Falcon
184,AerCap,разорвала контракты
185,EASA,приостановила действие сертификатов
186,Apple,"приостановила продажи iPhone и MacBook, ограничила работу Apple Pay"
187,Dell,приостановила поставки
188,Intel,приостановила поставки
189,AMD,приостановила поставки
190,Nokia,приостановила поставки
191,Siemens,приостановила поставки
192,Ericsson,приостановила поставки
193,HP,приостановила поставки
194,Panasonic,приостановила торговые операции
195,TSMC,приостановила сотрудничество
196,Hitachi,приостановила производство и поставки
197,Canon,приостановила продажи
198,IBM,приостановила деятельность
199,Epson,приостановила поставки
200,ASUS,приостановила бизнес
201,Ricoh,приостановила поставки
202,Qualcomm,приостановила продажи
203,Mitsubishi Electric,приостановила поставки
204,Bosch,приостановила производство
205,Xerox,приостановила поставки
206,SAP,приостановила работу и продажи продуктов
207,Oracle,приостановила работу
208,Sabre,прекратила сотрудничать с «Аэрофлотом»
209,Microsoft,приостановила продажи
210,Autodesk,приостановила работу
211,Adobe,приостановила новые продажи продуктов и услуг
212,EPAM Systems,приостановила работу с российскими клиентами
213,VMware,приостановила поддержку
214,Depositphotos,приостановила работу
215,VistaCreate,приостановила работу
216,Figma,заморозила корпоративные аккаунты
217,Atlassian,приостановила продажи и поддержку
218,JetBrains,приостановила продажи и разработку
219,Miro,"приостановила продажи, заблокирует аккаунты компаний под санкциями"
220,Avast,приостановила продажи
221,Norton,приостановила продажи
222,Tableau,приостановила продажи
223,Veeam Software,приостановила продажи
224,OnlyFans,"прекратила выплаты на карты российских банков, ограничивает учётные записи"
225,tiu.ru,перестал работать
226,LetyShops,перестал работать
227,Namechip,"перестали работать домены .ru, .рф, .by, .бел и .su"
228,EasyWP,"перестали работать домены .ru, .рф, .by, .бел и .su"
229,Private Email,"перестали работать домены .ru, .рф, .by, .бел и .su"
230,Galaxy Store,перестал принимать платежи
231,Google,приостановила контекстную рекламу и регистрацию пользователей в облачном сервисе
232,Facebook,заблокировали в России
233,YouTube,отключил монетизацию
234,GoDaddy,перестал принимать рубли
235,TikTok,приостановила работу
236,Munich Re,постепенно свернёт бизнес
237,Swiss Re,сократит бизнес
238,Zurich Re,сократит бизнес
239,Allianz,приостановит инвестиции и новые контракты
240,YIT,приостановила инвестиции
241,Herzog & de Meuron,приостановила деятельность
242,Zaha Hadid Architects,приостановила деятельность
243,David Chipperfield Architects,приостановила деятельность
244,MVRDV,приостановила деятельность
245,"Holcim — продает бизнес, но возможно будет работать под другим брендом в России.",-
246,Colnago,приостановила поставки
247,Giant,приостановила поставки
248,Merrida,приостановила поставки
249,Scott,приостановила поставки
250,Trek,приостановила поставки
251,Harley-Davidson,приостановила продажи
252,Yamaha,приостановила поставки
253,Европейская академия аллергии и клинической иммунологии,приостановила сотрудничество
254,Массачусетский технологический институт,прекратил сотрудничество со Сколково
255,IELTS,отменила экзамены в России
256,Quacquarelli Symonds,приостановила сотрудничество с вузами
257,Pfizer,приостановила инвестиции и испытания лекарств
258,Bayer,приостановила инвестиции
259,Eli Lilly,приостановила поставки лекарств
260,Novartis,приостановила инвестиции и коммерческую деятельность
261,AbbVie,приостановила поставки ботокса и филлеров
262,All Right,полностью уходит из России
263,CNN,приостановил вещание
264,ARD,приостановил вещание
265,ZDF,приостановил вещание
266,ABC,приостановил вещание
267,BBC,перевезёт сотрудников из России
268,Bloomberg,приостановило работу
269,CBC,приостановил вещание
270,Condé Nast,"приостановила работу, в компанию входят Vogue и GQ"
271,Hearst,"отозвала лицензию журналов Esquire, Elle, Men’s Health, Harper’s Bazaar и Cosmopolitan"
272,Discovery,"приостановил вещание, в компанию входят HGTV, Animal Planet, TLC, Eurosport"
273,Cartoon Network,приостановил вещание
274,France 24,приостановил вещание
275,Deutsche Welle,приостановил вещание
276,NHK WORLD TV,приостановил вещание
277,JimJam,приостановил вещание
278,TV5Monde,приостановил вещание
279,Каннский кинофестиваль,отказался принимать российскую делегацию
280,«Евровидение»,дисквалификация России
281,Международная кинологическая федерация,"отменила выставки в России, запретила участвовать животным из России"
282,Международная федерация кошек,запретила участвовать в выставках животным из России
283,Mobile World Congress,запретил присутствие российского павильона
284,«Каннские львы»,не будет принимать заявки из России
285,Берлинский кинофестиваль,отстранил Россию
286,McKinsey,пообещала не работать с госорганами
287,Boston Consulting Group,пообещала не работать с госорганами
288,Baker McKenzie,прекратит отношения с несколькими клиентами
289,Linklaters,прекратит отношения с несколькими клиентами
290,KPMG,прекратит отношения с некоторыми клиентами
291,Accenture,приостановила работу
292,BCG,приостановила работу
293,Fitch,приостановила коммерческую деятельность
294,AECOM,приостановила работу
